City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
266,Vila Franca Do Campo,PT,296.38,37.7167,-25.4333,Pestana Bahia Praia
267,Igarka,RU,283.15,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
268,Mareeba,AU,288.55,-17.0,145.4333,Trinity Plains Tourist Park
269,Tucano,BR,297.89,-10.9631,-38.7867,Pousada Pé De Arruda
270,Great Yarmouth,GB,290.6,52.6083,1.7305,Comfort Hotel Great Yarmouth
275,Saint-Gabriel,CA,299.77,46.3001,-73.3824,Auberge Le St Gab
276,Karasjok,NO,280.69,69.4719,25.5112,Karasjok camping AS
277,Mozelos,PT,295.3,41.8677,-8.3978,Casa do Rio Vez - Alojamento de Charme
278,Cidreira,BR,291.62,-30.1811,-50.2056,Hotel Castelo
279,Mao,ES,299.46,39.8885,4.2658,ARTIEM Capri
281,Yarim,YE,289.34,14.298,44.3779,وليد المسوري ابو اسد
282,Nizhniy Kuranakh,RU,291.14,58.8353,125.4869,Park Pobedy
283,Gorontalo,ID,296.23,0.5412,123.0595,Maqna Hotel by Prasanthi
284,Iglesias,IT,299.83,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia Sud-Ovest, Sulcis iglesiente, trekking, climbing Masua, Nebida, Miniere, Porto Flavia, Grotta Sardegna, Pan di Zucchero, Cammino Minerario Santa Barbara, Caserma “Trieste”,"
285,Salalah,OM,297.01,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
286,Montana,BG,294.18,43.4125,23.225,Веста
287,Pueblo,US,299.6,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
288,Cove,BJ,295.61,7.221,2.3402,TG Hôtel
289,Fairbanks,US,290.38,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
290,Mehamn,NO,283.12,71.0357,27.8492,Mehamn Arctic Hotel AS
291,Pokhara,NP,295.55,28.2333,83.9833,OYO 170 Hotel View Point
292,Vestmannaeyjar,IS,283.7,63.4427,-20.2734,Glamping & Camping
293,Takoradi,GH,297.16,4.8845,-1.7554,Raybow International Hotel
298,Rafaela,AR,292.04,-31.2503,-61.4867,Parra Hotel & Suites
299,Pingzhuang,CN,290.92,42.0372,119.2889,Haoke Guest House
300,San Policarpo,PH,299.5,12.1791,125.5072,Agapita M. Nicart
302,Saiha,IN,294.64,22.4833,92.9667,"Circuit House, Siaha"
304,Bell Ville,AR,290.74,-32.6259,-62.6887,Hotel Central
309,Maragogi,BR,297.35,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
310,Okitipupa,NG,295.78,6.5047,4.7839,Coastal Hotel & Suites
311,Soyo,AO,294.8,-6.1349,12.3689,Hospedaria ndozi'ame
312,Viedma,AR,284.47,-40.8135,-62.9967,Hotel Cristal
313,Hasaki,JP,298.37,35.7333,140.8333,Inubosaki Kanko Hotel
315,Olafsvik,IS,280.63,64.8945,-23.7142,Hotel Olafsvik
316,Kangaatsiaq,GL,277.91,68.3065,-53.4641,Nukissiorfiit
318,Jiayuguan,CN,297.35,39.8167,98.3,Jiugang Hotel - Jiayuguan
319,Foam Lake,CA,295.16,51.65,-103.5343,Fishing Lake Lodge LTD
320,Ardon,RU,291.7,43.17,44.29,Blossom
321,Fuxin,CN,294.84,42.0156,121.6589,Xinya International Hotel
324,Margate,GB,291.65,51.3813,1.3862,Premier Inn Margate hotel
325,Belmonte,BR,295.96,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
327,Ginda,IN,292.18,30.6945,78.4932,Sunil Bisht
330,Hofn,IS,283.95,64.2539,-15.2082,Hótel Höfn
332,Port Hardy,CA,292.25,50.6996,-127.4199,Airport Inn-Port Hardy
333,Arkhara,RU,294.37,49.4212,130.0842,"Gostinitsa ""Arkhara"""
334,Jega,NG,296.37,12.2175,4.3792,ALH. Nasiru Ibrahim
335,Esperance,AU,287.13,-33.8667,121.9,Hospitality Esperance
337,Shenjiamen,CN,299.7,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
339,San Jeronimo,PE,292.26,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
340,Luganville,VU,298.63,-15.5333,167.1667,The Espiritu Hotel
341,La Ronge,CA,297.27,55.1001,-105.2842,Northland Motor Hotel
342,Grafenau,DE,293.12,48.8577,13.3974,Landhotel Postwirt
343,Diapaga,BF,298.29,12.0708,1.7889,Hôtel GACILIE
344,Ahipara,NZ,286.65,-35.1667,173.1667,Ahipara Holiday Park
346,Guarapari,BR,296.98,-20.6667,-40.4975,Hotel Porto do Sol
349,Omboue,GA,295.27,-1.5746,9.2618,Hotel Olako
350,Yulara,AU,281.81,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
351,Kirakira,SB,299.29,-10.4544,161.9205,SanBiz Lodge
353,Miri,MY,297.23,4.4148,114.0089,"Mega Hotel, Miri"
356,Coquimbo,CL,289.0,-29.9533,-71.3436,Hotel San Juan
357,Chara,RU,290.56,56.9064,118.2631,
358,Zyryanka,RU,283.85,65.75,150.85,
360,Porto Novo,BJ,299.05,6.4965,2.6036,Tour Eiffel Hotel Benin
361,Lanzhou,CN,293.19,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
363,Flinders,AU,283.25,-34.5833,150.8552,Shellharbour Resort & Conference Centre
366,Kayerkan,RU,282.65,69.3497,87.7602,
367,Lambarene,GA,296.35,-0.7001,10.2406,Le Refuge
368,Nenjiang,CN,291.59,49.1833,125.2167,Nenjiang Apartment
369,Nemuro,JP,288.36,43.3236,145.575,Hotel Nemuro Kaiyoutei
371,Skjervoy,NO,284.15,70.0311,20.9714,Skjervøy fiskecamp AS
372,Yizheng,CN,288.31,24.6706,103.4296,
373,Kushima,JP,299.11,31.4583,131.2333,Hanaoka
374,Changde,CN,297.66,29.0464,111.6783,Kangshida Hotel
375,Cam Ranh,VN,299.13,11.9214,109.1591,OYO 598 Peony Hotel
376,Sauk Rapids,US,296.14,45.5919,-94.1661,Best Western Plus Kelly Inn
378,Chernyshevskiy,RU,290.07,63.0128,112.4714,Chernyseyskiy
379,Asosa,ET,288.62,10.0667,34.5333,Blendana Hotel Assosa
380,Zhigansk,RU,292.2,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
381,Waipawa,NZ,280.62,-41.4122,175.5153,Tora Coastal Walk
