City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Bluff,NZ,2022-07-26 02:05:57,-46.6,168.3333,281.37,89,100,12.09
128,Vaini,TO,2022-07-26 02:05:58,-21.2,-175.2,298.24,88,20,5.14
129,Emerald,AU,2022-07-26 02:04:44,-23.5333,148.1667,295.56,58,0,1.24
130,Dhidhdhoo,MV,2022-07-26 02:05:39,6.8833,73.1,300.67,78,34,7.66
131,Qandala,SO,2022-07-26 02:05:59,11.472,49.8728,303.97,47,48,4.47
132,Cidreira,BR,2022-07-26 02:05:59,-30.1811,-50.2056,289.12,95,5,3.11
133,Wildwood,US,2022-07-26 02:06:00,38.5828,-90.6629,297.63,72,100,3.6
134,College,US,2022-07-26 02:01:53,64.8569,-147.8028,299.59,44,67,2.68
135,Hamilton,US,2022-07-26 02:07:01,39.1834,-84.5333,298.07,80,0,2.57
136,Comodoro Rivadavia,AR,2022-07-26 02:03:11,-45.8667,-67.5,277.19,77,59,4.25
137,Pangnirtung,CA,2022-07-26 02:07:02,66.1451,-65.7125,280.8,80,32,2.2
138,Lazaro Cardenas,MX,2022-07-26 02:04:02,17.9583,-102.2,299.1,85,99,1.4
139,Santo Domingo,DO,2022-07-26 02:06:04,18.5001,-69.9886,299.28,89,40,2.24
140,Itarema,BR,2022-07-26 02:05:21,-2.9248,-39.9167,298.09,80,76,5.46
141,Dandong,CN,2022-07-26 02:07:03,40.1292,124.3947,300.39,77,100,0.71
142,Bethel,US,2022-07-26 02:07:04,41.3712,-73.414,299.35,90,20,0.0
143,Thompson,CA,2022-07-26 02:06:40,55.7435,-97.8558,285.82,89,100,1.87
144,Cehegin,ES,2022-07-26 02:07:05,38.0924,-1.7985,299.4,16,1,1.55
145,Kunashak,RU,2022-07-26 02:07:05,55.7032,61.5498,291.44,82,78,1.95
146,Sharan,RU,2022-07-26 02:07:06,54.8167,54.0,290.81,84,15,0.45
147,Kolda,SN,2022-07-26 02:07:06,12.8833,-14.95,296.46,98,100,1.2
148,Ruwi,OM,2022-07-26 02:07:07,23.5996,58.5507,303.98,80,100,3.85
149,Tessalit,ML,2022-07-26 02:07:07,20.1986,1.0114,305.8,9,0,3.78
150,Kodiak,US,2022-07-26 02:02:55,57.79,-152.4072,286.18,71,99,1.82
151,Kalanguy,RU,2022-07-26 02:07:08,51.0167,116.5167,292.25,87,100,4.25
